Strategy / Baseline,Test Reduction (TRR %),Time Reduction (ETR %),Failure Recall (FR %),Missed-Failure (MFR %),Abstention Rate (AR %),Escaped Commits
1. Full Test Suite,0.0%,-0.0%,100.0%,0.0%,0.0%,0
2. Random-k Selection,75.1%,78.7%,25.2%,74.8%,0.0%,133
3. Changed-File Selection,83.6%,86.1%,42.3%,57.7%,0.0%,69
4. Static AST Call-Graph Selection,75.6%,68.2%,38.6%,61.4%,0.0%,94
5. Historical Failure Frequency,75.1%,70.0%,48.4%,51.6%,0.0%,99
6. Uncalibrated ML (LightGBM),75.1%,27.7%,51.8%,48.2%,0.0%,69
7. Calibrated ML (No Abstention),75.1%,27.7%,51.8%,48.2%,0.0%,69
8. ConfTest (Calibrated + Selective Abstention),3.1%,0.0%,100.0%,0.0%,97.8%,0
