commit_sha,strategy,tests_available,tests_selected,failures_available,failures_detected,duration_available,duration_selected,abstained,escaped,failure_recall,time_reduction
mut_d9fde15d093c,1. Full Test Suite,365.0,365.0,9.0,9.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_da19bcd92234,1. Full Test Suite,365.0,365.0,8.0,8.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_da98b4b12d6b,1. Full Test Suite,191.0,191.0,8.0,8.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_dabe6b6f9797,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_dae218ee37c9,1. Full Test Suite,365.0,365.0,1.0,1.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_db0c05c5ba79,1. Full Test Suite,365.0,365.0,3.0,3.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_db19b9c3be0f,1. Full Test Suite,365.0,365.0,21.0,21.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_db51e974c4a7,1. Full Test Suite,191.0,191.0,120.0,120.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_db551481015f,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_dc11bf9c3112,1. Full Test Suite,191.0,191.0,9.0,9.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_dc23088c978a,1. Full Test Suite,191.0,191.0,1.0,1.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_dc56e7048ab7,1. Full Test Suite,365.0,365.0,1.0,1.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_dcb5286d667c,1. Full Test Suite,895.0,895.0,7.0,7.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_dcbecabbebc7,1. Full Test Suite,895.0,895.0,2.0,2.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_dcf9b24994ae,1. Full Test Suite,191.0,191.0,2.0,2.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_dd2029779d86,1. Full Test Suite,895.0,895.0,14.0,14.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_dd8be6e5d67d,1. Full Test Suite,365.0,365.0,155.0,155.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_ddffa913284a,1. Full Test Suite,895.0,895.0,7.0,7.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_de07db6d0354,1. Full Test Suite,895.0,895.0,73.0,73.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_de080396a033,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_de0cd1debe22,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_de3d54f93612,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_de45f3060556,1. Full Test Suite,507.0,507.0,24.0,24.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_de93611a8255,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_deb25f418ef6,1. Full Test Suite,895.0,895.0,1.0,1.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_dfe7bf887980,1. Full Test Suite,507.0,507.0,12.0,12.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e04304803276,1. Full Test Suite,191.0,191.0,73.0,73.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e0478e596d43,1. Full Test Suite,191.0,191.0,2.0,2.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e083a55a6bb5,1. Full Test Suite,895.0,895.0,43.0,43.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_e1182c8943ba,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_e1507a2cf092,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_e17221f2b716,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_e1a29b361e0f,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e1c2d8def0d5,1. Full Test Suite,365.0,365.0,5.0,5.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_e281f9de1ee8,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_e2adab202593,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_e30b35af2f88,1. Full Test Suite,191.0,191.0,56.0,56.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_e32189bcd2c9,1. Full Test Suite,507.0,507.0,9.0,9.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_e366b4b855c3,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
